fold,dim,variance,r2,lr,batch,epochs
1,1,0.043377677,0.043377677,0.0001,256,50
1,2,0.134050613,0.134050613,0.0001,256,50
1,3,0.164092256,0.164092256,0.0001,128,75
1,4,0.17308983,0.17308983,0.1,128,10
2,1,0.062969925,0.062969925,0.0001,256,50
2,2,0.078954195,0.078954195,0.0001,256,150
2,3,0.228886084,0.228886084,0.0001,256,100
2,4,0.195899055,0.195899055,0.0001,256,100
3,1,0.06010509,0.06010509,0.0001,256,50
3,2,0.106428385,0.106428385,0.0001,128,10
3,3,0.148415961,0.148415961,0.0001,256,75
3,4,0.197876802,0.197876802,0.0001,256,75
4,1,0.041027134,0.041027134,0.0001,32,10
4,2,0.11385911,0.11385911,0.0001,64,10
4,3,0.128975789,0.128975789,0.0001,256,50
4,4,0.183589629,0.183589629,0.0001,256,100
5,1,0.027824005,0.027824005,0.0001,64,10
5,2,0.110397429,0.110397429,0.0001,128,75
5,3,0.116279923,0.116279923,0.0001,32,10
5,4,0.191697856,0.191697856,0.0001,256,75
1,6,0.257522804,0.257522804,0.01,256,10
1,7,0.300308311,0.300308311,0.0001,128,50
1,8,0.268230902,0.268230902,0.0001,64,50
2,6,0.268501013,0.268501013,0.0001,32,150
2,7,0.299592008,0.299592008,0.001,256,10
2,8,0.33720144,0.33720144,0.0001,128,100
3,6,0.247346979,0.247346979,0.001,32,10
3,7,0.252751412,0.252751412,0.0001,128,75
3,8,0.284954943,0.284954943,0.0001,32,50
4,6,0.237823899,0.237823899,0.001,256,50
4,7,0.251977334,0.251977334,0.0001,128,50
4,8,0.28589903,0.28589903,0.0001,64,50
5,6,0.237398327,0.237398327,0.01,256,10
5,7,0.291152294,0.291152294,0.0001,128,50
5,8,0.336289217,0.336289217,0.0001,64,50
1,10,0.330138508,0.330138508,0.0001,256,150
1,20,0.435711226,0.435711226,0.001,64,10
1,30,0.489979613,0.489979613,0.001,128,10
1,40,0.52318761,0.52318761,0.01,128,75
1,50,0.540932717,0.540932717,0.0001,64,75
2,10,0.385012995,0.385012995,0.001,256,10
2,20,0.472093019,0.472093019,0.0001,32,100
2,30,0.53244129,0.53244129,0.0001,256,150
2,40,0.558215249,0.558215249,0.01,32,150
2,50,0.577945735,0.577945735,0.01,64,50
3,10,0.303626517,0.303626517,0.0001,64,50
3,20,0.408881346,0.408881346,0.0001,32,50
3,30,0.446827576,0.446827576,0.0001,128,75
3,40,0.47036224,0.47036224,0.0001,32,75
3,50,0.480434194,0.480434194,0.01,32,50
4,10,0.348967984,0.348967984,0.001,128,10
4,20,0.427469481,0.427469481,0.0001,128,100
4,30,0.463432963,0.463432963,0.0001,64,100
4,40,0.508158456,0.508158456,0.0001,64,150
4,50,0.51879056,0.51879056,0.001,256,75
5,10,0.363017853,0.363017853,0.0001,128,75
5,20,0.445706652,0.445706652,0.001,64,10
5,30,0.471692279,0.471692279,0.001,32,10
5,40,0.51584657,0.51584657,0.01,64,150
5,50,0.528930391,0.528930391,0.01,64,150
1,70,0.554637366,0.554637366,0.001,32,10
2,70,0.592235615,0.592235615,0.001,256,50
3,70,0.491092264,0.491092264,0.001,32,10
4,70,0.531746555,0.531746555,0.001,256,100
5,70,0.543929574,0.543929574,0.001,256,50
1,80,0.5637259,0.5637259,0.001,32,10
2,80,0.595492072,0.595492072,0.0001,32,100
3,80,0.495780566,0.495780566,0.0001,64,100
4,80,0.536428641,0.536428641,0.01,128,50
5,80,0.546270523,0.546270523,0.001,256,75
1,90,0.56650934,0.56650934,0.01,64,75
1,100,0.572699601,0.572699601,0.0001,64,75
2,90,0.603838023,0.603838023,0.0001,32,75
2,100,0.607989366,0.607989366,0.0001,32,50
3,90,0.500250465,0.500250465,0.0001,32,50
3,100,0.510211963,0.510211963,0.0001,256,150
4,90,0.549163324,0.549163324,0.0001,256,75
4,100,0.54896714,0.54896714,0.01,128,10
5,90,0.550550766,0.550550766,0.01,256,10
5,100,0.554364143,0.554364143,0.001,128,10
1,110,0.575316027,0.575316027,0.001,32,10
1,120,0.583283644,0.583283644,0.01,256,10
2,110,0.613861961,0.613861961,0.0001,64,75
2,120,0.620067399,0.620067399,0.001,64,10
3,110,0.519081748,0.519081748,0.0001,256,150
3,120,0.519507639,0.519507639,0.01,256,10
4,110,0.555350923,0.555350923,0.0001,64,50
4,120,0.560636497,0.560636497,0.001,128,10
5,110,0.559938089,0.559938089,0.01,256,10
5,120,0.564777033,0.564777033,0.0001,128,100
